studyid,obsid,wlfresh,lnyear,lninc,sagulf,nema,nmw,local,prov,reg,cult,forest,q0,q1,volunt,lumpsum,ce,nrev,median,canada,lnwtp,stwt,obwt
101,1011,1,2.89,5.347770319,0,0,1,1,0,1,1,0,0,2499,0,0,0,0,0,0,5.542766604,1,1
102,1021,0,2.197,5.125841822,0,1,0,0,1,0,1,0,11374,11407,0,1,1,0,0,0,3.564682169,4,0.25
102,1022,0,2.197,5.125841822,0,1,0,0,1,0,1,0,11343,11407,0,1,1,0,0,0,3.762249264,4,0.25
102,1023,0,2.197,5.125841822,0,1,0,0,1,0,1,0,11306,11407,0,1,1,0,0,0,3.927418763,4,0.25
102,1024,0,2.197,5.125841822,0,1,0,0,1,0,1,0,11272,11407,0,1,1,0,0,0,4.101351515,4,0.25
104,1041,1,0.693,4.982520716,0,0,1,0,0,1,1,0,3468,3968,1,0,0,0,1,0,0.906879843,4,0.25
104,1042,1,0.693,4.982520716,0,0,1,0,0,1,1,1,69580,70080,1,0,0,0,1,0,2.224559927,4,0.25
104,1043,1,0.693,4.982520716,0,0,1,0,0,1,1,1,21716,22216,1,0,0,0,1,0,1.94081675,4,0.25
104,1044,1,0.693,4.982520716,0,0,1,0,0,1,1,1,908,1408,1,0,0,0,1,0,3.17573428,4,0.25
106,1061,1,1.792,5.048535448,0,0,1,1,1,1,1,0,10000,13000,0,1,0,1,1,0,4.969109615,1,1
108,1082,0,3.219,5.152334379,1,0,0,0,1,1,0,0,32362,33862,0,1,1,0,0,0,5.466418323,2,0.5
108,1084,0,3.219,5.152334379,1,0,0,0,1,1,0,0,522667,524167,0,1,1,0,0,0,6.671927728,2,0.5
109,1091,0,2.565,5.125841822,0,1,0,0,1,1,1,0,11404,11407,0,0,1,0,0,0,5.729409605,5,0.2
109,1092,0,2.565,5.125841822,0,1,0,0,1,1,1,0,11402,11407,0,0,1,0,0,0,5.78617988,5,0.2
109,1093,0,2.565,5.125841822,0,1,0,0,1,1,1,0,11400,11407,0,0,1,0,0,0,5.834632101,5,0.2
109,1094,0,2.565,5.125841822,0,1,0,0,1,1,1,0,11398,11407,0,0,1,0,0,0,5.885875348,5,0.2
109,1095,0,2.565,5.125841822,0,1,0,0,1,1,1,0,11395,11407,0,0,1,0,0,0,5.967353053,5,0.2
110,1101,0,3.045,5.019002579,1,0,0,0,1,1,1,0,1381022,1829022,0,0,0,0,0,0,6.770457623,1,1
113,1131,1,1.792,5.143213996,0,0,1,0,0,1,0,1,219890,220000,0,1,0,1,0,0,4.431104551,1,1
114,1141,1,2.485,5.277413555,0,1,0,1,0,0,1,1,5838,5867,0,1,1,0,0,0,2.362518494,3,0.333333333
114,1142,1,2.485,5.277413555,0,1,0,1,0,0,1,1,5822,5867,0,1,1,0,0,0,2.678155234,3,0.333333333
114,1143,1,2.485,5.277413555,0,1,0,1,0,0,1,1,5807,5867,0,1,1,0,0,0,2.958289197,3,0.333333333
115,1151,1,0.693,5.144082606,0,0,0,0,0,0,1,0,27000,85000,0,0,0,0,0,0,5.832829827,2,0.5
115,1152,1,0.693,5.144082606,0,0,0,0,0,0,1,0,85000,125000,0,0,0,0,0,0,6.335937267,2,0.5
116,1161,0,3.135,5.103692278,0,0,0,0,1,1,0,0,2131000,2382000,0,1,0,1,0,0,7.843796685,2,0.5
116,1162,0,3.135,5.103692278,0,0,0,0,1,1,0,0,2131000,2382000,0,1,1,0,0,0,7.187719158,2,0.5
117,1171,1,2.079,5.034637636,0,0,1,0,0,0,0,0,34000,50000,0,0,0,0,0,0,4.114846858,3,0.33
117,1172,1,2.079,5.034637636,0,0,1,0,0,0,0,0,34000,75000,0,0,0,0,0,0,3.992613704,3,0.33
117,1173,1,2.079,5.034637636,0,0,1,0,0,0,0,0,34000,1.00E+05,0,0,0,0,0,0,4.118860217,3,0.33
119,1191,1,2.833,5.13235639,0,0,1,1,0,0,1,0,9000,10125,1,1,0,0,1,0,4.556152564,1,1
120,1201,1,0,5.111509768,0,0,1,0,1,1,1,1,36000,41000,1,0,0,0,1,0,3.160185486,1,1
122,1221,1,1.609,5.166666406,1,0,0,1,0,0,0,0,212378,212708,0,0,0,0,0,0,4.958883388,1,1
124,1241,0,3.296,5.318237874,0,1,0,0,0,1,1,0,23860,24860,0,0,1,1,0,0,5.382624124,3,0.3
124,1242,0,3.296,5.318237874,0,1,0,0,0,1,1,0,23860,26860,0,0,1,1,0,0,5.468209304,3,0.3
124,1243,0,3.296,5.318237874,0,1,0,0,0,1,1,0,23860,28860,0,0,1,1,0,0,5.549388224,3,0.3
125,1251,1,1.386,5.16970653,1,0,0,0,1,1,1,1,6000,8500,1,1,0,1,0,0,3.840662199,2,0.5
125,1252,1,1.386,5.15580881,1,0,0,0,1,1,1,1,6000,8500,1,1,0,1,0,0,3.552219526,2,0.5
126,1261,1,1.415,4.725911632,0,0,0,1,0,1,0,0,988422,1976843,0,0,1,1,0,1,6.246465399,2,0.5
126,1262,1,1.415,4.725911632,0,0,0,1,0,1,0,0,988422,1976843,0,0,0,1,0,1,6.210215243,2,0.5
127,1271,1,1.342,4.836324116,0,0,0,1,0,1,0,0,11997,14520,0,0,0,1,0,1,5.674459136,1,1
128,1281,1,1.342,4.781036939,0,0,0,0,0,1,0,0,949184,1044102,0,0,0,1,0,1,5.830213985,5,0.2
128,1282,1,1.322,4.781036939,0,0,0,0,0,1,0,0,949184,1084782,0,0,0,1,0,1,5.852167108,5,0.2
128,1283,1,1.322,4.781036939,0,0,0,0,0,1,0,0,949184,1125461,0,0,0,1,0,1,5.874005474,5,0.2
128,1284,1,1.322,4.781036939,0,0,0,0,0,1,0,0,949184,1206820,0,0,0,1,0,1,5.915772822,5,0.2
128,1285,1,1.322,4.781036939,0,0,0,0,0,1,0,0,949184,1355977,0,0,0,1,0,1,5.994469799,5,0.2
129,1291,1,1.146,4.836324116,0,0,0,1,1,1,0,0,4200,8400,1,1,0,0,0,1,4.653421159,1,1
130,1301,1,1.301,4.739572344,0,0,0,1,1,0,0,1,0,5884,0,0,0,1,1,1,3.615580658,4,0.25
130,1302,1,1.301,4.739572344,0,0,0,1,1,0,0,1,0,11300,0,0,0,1,1,1,3.127931768,4,0.25
130,1303,1,1.301,4.739572344,0,0,0,1,1,0,0,1,0,7408,0,0,0,1,1,1,3.370493406,4,0.25
130,1304,1,1.301,4.739572344,0,0,0,1,1,0,0,1,0,14318,0,0,0,1,1,1,2.851537656,4,0.25
131,1311,1,7.606884531,4.836324116,0,0,0,0,1,1,1,1,1307159,1413412,0,0,1,1,0,1,2.547496534,2,0.5
131,1312,1,7.606884531,4.836324116,0,0,0,0,1,1,1,1,1307159,1616034,0,0,1,1,0,1,3.250073703,2,0.5
132,1321,1,3.295836866,4.725911632,0,0,0,0,1,1,0,0,29652645.8,129948359.5,0,0,0,1,0,1,6.840613153,1,1