,local,forest,studyid,obsid,lnyear,lninc,sagulf,nema,nmw,prov,reg,cult,q0,q1,volunt,lumpsum,ce,nrev,us,lnwtp
FL,1,1,130,1011,2.43,5.03,0,0,0,1,1,1,10000,10030,1,0,1,1,0,5.542766604
FL,1,1,130,1021,2.43,5.03,0,0,0,1,1,1,10030,10050,1,0,1,1,0,3.564682169
FL,1,1,130,1022,2.43,5.03,0,0,0,1,1,1,10000,10050,1,0,1,1,0,3.762249264
FNL,0,1,131,1023,2.43,5.03,0,0,0,1,1,1,10000,10030,1,0,1,1,0,3.927418763
FNL,0,1,131,1024,2.43,5.03,0,0,0,1,1,1,10030,10050,1,0,1,1,0,4.101351515
FNL,0,1,131,1041,2.43,5.03,0,0,0,1,1,1,10000,10050,1,0,1,1,0,0.906879843
NN,0,0,132,1042,2.43,5.03,0,0,0,1,1,1,10000,10030,1,0,1,1,0,2.224559927
NN,0,0,132,1043,2.43,5.03,0,0,0,1,1,1,10030,10050,1,0,1,1,0,1.94081675
NN,0,0,132,1044,2.43,5.03,0,0,0,1,1,1,10000,10050,1,0,1,1,0,3.17573428
NFL,1,0,133,1061,2.43,5.03,0,0,0,1,1,1,10000,10030,1,0,1,1,0,4.969109615
NFL,1,0,133,1082,2.43,5.03,1,0,0,1,1,1,10030,10050,1,0,1,1,0,5.466418323
NFL,1,0,133,1084,2.43,5.03,1,0,0,1,1,1,10000,10050,1,0,1,1,0,6.671927728
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,