Year,DATE,CP1_Canada,CPI_USA
1999,1/1/99,73.90405018,69.3199222
1999,2/1/99,73.90405018,69.40430433
1999,3/1/99,74.46453593,69.61525966
1999,4/1/99,74.70474411,70.12155246
1999,5/1/99,74.78481351,70.12155246
1999,6/1/99,74.94495229,70.12155246
1999,7/1/99,75.10509108,70.33250779
1999,8/1/99,75.10509108,70.50127206
1999,9/1/99,75.34529926,70.83880059
1999,10/1/99,75.50543805,70.96537379
1999,11/1/99,75.34529926,71.00756486
1999,12/1/99,75.26522987,71.00756486
2000,1/1/00,75.26522987,71.21852019
2000,2/1/00,75.82571562,71.64043086
2000,3/1/00,76.14599319,72.23110579
2000,4/1/00,75.90578501,72.27329685
2000,5/1/00,76.30613198,72.35767899
2000,6/1/00,77.02675652,72.73739858
2000,7/1/00,77.02675652,72.90616285
2000,8/1/00,76.94668713,72.90616285
2000,9/1/00,77.18689531,73.28588245
2000,10/1/00,77.2669647,73.41245565
2000,11/1/00,77.3470341,73.45464671
2000,12/1/00,77.42710349,73.41245565
2001,1/1/01,77.50717288,73.87655738
2001,2/1/01,77.90751985,74.17189484
2001,3/1/01,78.06765864,74.34065911
2001,4/1/01,78.78828318,74.63599657
2001,5/1/01,79.10856075,74.97352511
2001,6/1/01,78.70821379,75.10009831
2001,7/1/01,78.78828318,74.88914297
2001,8/1/01,78.86835257,74.88914297
2001,9/1/01,78.78828318,75.2266715
2001,10/1/01,78.4680056,74.97352511
2001,11/1/01,78.30786682,74.84695191
2001,12/1/01,78.548075,74.55161444
2002,1/1/02,78.548075,74.72037871
2002,2/1/02,79.18863015,75.01571617
2002,3/1/02,79.26869954,75.43762684
2002,4/1/02,79.66904651,75.8595375
2002,5/1/02,79.50890772,75.8595375
2002,6/1/02,79.90925469,75.90172857
2002,7/1/02,80.54980984,75.9861107
2002,8/1/02,80.62987923,76.2392571
2002,9/1/02,80.54980984,76.3658303
2002,10/1/02,80.87008741,76.4924035
2002,11/1/02,81.0302262,76.4924035
2002,12/1/02,81.11029559,76.32363923
2003,1/1/03,81.51064256,76.66116776
2003,2/1/03,82.39140589,77.25184269
2003,3/1/03,82.47147528,77.71594443
2003,4/1/03,81.83092013,77.54718016
2003,5/1/03,81.91098952,77.42060696
2003,6/1/03,81.75085074,77.50498909
2003,7/1/03,81.91098952,77.58937123
2003,8/1/03,81.99105892,77.88470869
2003,9/1/03,81.91098952,78.13785509
2003,10/1/03,81.91098952,78.05347296
2003,11/1/03,82.1511977,77.84251763
2003,12/1/03,82.1511977,77.75813549
2004,1/1/04,82.55154467,78.13785509
2004,2/1/04,82.87182225,78.55976576
2004,3/1/04,83.03196103,79.06605855
2004,4/1/04,83.03196103,79.31920495
2004,5/1/04,83.75258557,79.78330668
2004,6/1/04,83.75258557,80.03645308
2004,7/1/04,83.59244679,79.90987988
2004,8/1/04,83.59244679,79.95207095
2004,9/1/04,83.83265497,80.12083521
2004,10/1/04,84.31307133,80.54274588
2004,11/1/04,84.31307133,80.58493695
2004,12/1/04,84.15293254,80.28959948
2005,1/1/05,84.15293254,80.45836375
2005,2/1/05,84.39314072,80.92246548
2005,3/1/05,85.03369587,81.55533147
2005,4/1/05,85.03369587,82.10381534
2005,5/1/05,85.19383466,82.01943321
2005,6/1/05,85.43404284,82.06162427
2005,7/1/05,85.51411223,82.44134387
2005,8/1/05,85.9144592,82.86325453
2005,9/1/05,86.63508374,83.87584013
2005,10/1/05,86.07459798,84.0446044
2005,11/1/05,86.07459798,83.36954733
2005,12/1/05,85.9144592,83.0320188
2006,1/1/06,86.39487556,83.6648848
2006,2/1/06,86.39487556,83.83364906
2006,3/1/06,86.63508374,84.29775079
2006,4/1/06,87.19556949,85.01499892
2006,5/1/06,87.27563889,85.43690959
2006,6/1/06,87.1155001,85.60567385
2006,7/1/06,87.19556949,85.85882025
2006,8/1/06,87.19556949,86.02758452
2006,9/1/06,86.79522253,85.60567385
2006,10/1/06,86.95536131,85.14157212
2006,11/1/06,87.03543071,85.01499892
2006,12/1/06,86.95536131,85.14157212
2007,1/1/07,87.03543071,85.40146909
2007,2/1/07,87.67598585,85.85839834
2007,3/1/07,88.316541,86.6401988
2007,4/1/07,88.47667979,87.20302763
2007,5/1/07,88.71688797,87.7359008
2007,6/1/07,88.47667979,87.9059308
2007,7/1/07,88.47667979,87.88356953
2007,8/1/07,88.07633282,87.72239966
2007,9/1/07,88.3966104,87.96415447
2007,10/1/07,88.3966104,88.15232663
2007,11/1/07,88.63681858,88.67591776
2007,12/1/07,88.87702676,88.61642836
2008,1/1/08,88.71688797,89.05690309
2008,2/1/08,89.11723494,89.31553433
2008,3/1/08,89.27737372,90.0897404
2008,4/1/08,89.83785948,90.63611471
2008,5/1/08,90.7986922,91.3993511
2008,6/1/08,91.11896977,92.32038208
2008,7/1/08,91.19903917,92.80515744
2008,8/1/08,90.71862281,92.43471987
2008,9/1/08,91.11896977,92.30688094
2008,10/1/08,90.39834523,91.37445837
2008,11/1/08,89.99799827,89.62437294
2008,12/1/08,89.5175819,88.69743521
2009,1/1/09,89.43751251,89.08348346
2009,2/1/09,89.99799827,89.52648966
2009,3/1/09,90.23820645,89.74419556
2009,4/1/09,90.39834523,89.96823013
2009,5/1/09,91.19903917,90.2281271
2009,6/1/09,91.51931674,91.00317699
2009,7/1/09,91.11896977,90.85888354
2009,8/1/09,91.27910856,91.06266639
2009,9/1/09,91.11896977,91.11962433
2009,10/1/09,91.03890038,91.20738175
2009,11/1/09,91.59938613,91.27193408
2009,12/1/09,91.27910856,91.11118612
2010,1/1/10,91.27910856,91.42255619
2010,2/1/10,91.43924735,91.44533936
2010,3/1/10,91.67945553,91.82083986
2010,4/1/10,91.91966371,91.98032209
2010,5/1/10,91.9997331,92.05162499
2010,6/1/10,91.91966371,91.96175802
2010,7/1/10,91.67945553,91.98116591
2010,8/1/10,91.67945553,92.10816102
2010,9/1/10,91.91966371,92.16174367
2010,10/1/10,92.32001068,92.27650337
2010,11/1/10,92.56021886,92.31531915
2010,12/1/10,92.72035764,92.47395756
2011,1/1/11,93.12070461,92.9144323
2011,2/1/11,93.2808434,93.37262728
2011,3/1/11,94.56195369,94.28311049
2011,4/1/11,94.72209248,94.89023994
2011,5/1/11,94.96230066,95.33662142
2011,6/1/11,94.40181491,95.23451904
2011,7/1/11,94.4818843,95.31890118
2011,8/1/11,94.64202309,95.58175152
2011,9/1/11,94.80216187,95.72688879
2011,10/1/11,95.12243945,95.5294346
2011,11/1/11,95.28257823,95.44884966
2011,12/1/11,94.80216187,95.21342351
2012,1/1/12,95.60285581,95.6323808
2012,2/1/12,96.08327217,96.05344764
2012,3/1/12,96.40354974,96.78293118
2012,4/1/12,96.80389671,97.07531527
2012,5/1/12,96.64375792,96.96139939
2012,6/1/12,96.24341096,96.8192155
2012,7/1/12,96.24341096,96.66142091
2012,8/1/12,96.48361914,97.19935701
2012,9/1/12,96.48361914,97.63308117
2012,10/1/12,96.80389671,97.59510921
2012,11/1/12,96.72382732,97.13269512
2012,12/1/12,96.16334156,96.87111051
2013,1/1/13,96.16334156,97.15758785
2013,2/1/13,97.44445186,97.95331137
2013,3/1/13,97.20424368,98.20941114
2013,4/1/13,97.20424368,98.10730876
2013,5/1/13,97.36438246,98.28197977
2013,6/1/13,97.20424368,98.51782784
2013,7/1/13,97.28431307,98.55664362
2013,8/1/13,97.28431307,98.67520051
2013,9/1/13,97.28431307,98.78996021
2013,10/1/13,97.20424368,98.53554808
2013,11/1/13,97.36438246,98.3342967
2013,12/1/13,97.04410489,98.32585848
2014,1/1/14,97.28431307,98.69165503
2014,2/1/14,97.92486822,99.05660775
2014,3/1/14,98.1650764,99.69453668
2014,4/1/14,98.64549276,100.0232051
2014,5/1/14,98.88570094,100.3725471
2014,6/1/14,98.96577033,100.5594535
2014,7/1/14,98.88570094,100.5202158
2014,8/1/14,99.04583973,100.3522954
2014,9/1/14,99.12590912,100.4278174
2014,10/1/14,99.3661173,100.1755148
2014,11/1/14,99.12590912,99.63462536
2014,12/1/14,98.40528458,99.06968698
2015,1/1/15,98.40528458,98.6034757
2015,2/1/15,99.3661173,99.03171502
2015,3/1/15,99.92660306,99.62112422
2015,4/1/15,100.0066724,99.82364134
2015,5/1/15,100.4070194,100.3324656
2015,6/1/15,100.32695,100.6839172
2015,7/1/15,100.32695,100.6906678
2015,8/1/15,100.32695,100.548062
2015,9/1/15,100.32695,100.3915331
2015,10/1/15,100.5671582,100.3463887
2015,11/1/15,100.1668112,100.1345895
2015,12/1/15,99.84653366,99.79241995
2016,1/1/16,99.92660306,99.95738702
2016,2/1/16,100.4070194,100.0396596
2016,3/1/16,100.727297,100.4704304
2016,4/1/16,101.0475746,100.9467675
2016,5/1/16,101.3678521,101.3551771
2016,6/1/16,101.0475746,101.6880646
2016,7/1/16,100.8073664,101.5235194
2016,8/1/16,100.727297,101.6167617
2016,9/1/16,101.2077134,101.8610479
2016,10/1/16,101.127644,101.9880431
2016,11/1/16,100.8073664,101.8294046
2016,12/1/16,100.4870888,101.8627356
2017,1/1/17,101.0475746,102.4563639
2017,2/1/17,101.4479215,102.7787036
2017,3/1/17,101.6881297,102.8622419
2017,4/1/17,102.0084073,103.1672834
2017,5/1/17,102.1685461,103.2554627
2017,6/1/17,101.8482685,103.3491269
2017,7/1/17,101.9283379,103.277824
2017,8/1/17,102.0084073,103.5870845
2017,9/1/17,102.1685461,104.1355683
2017,10/1/17,102.2486155,104.0697503
2017,11/1/17,102.568893,104.0722817
2017,12/1/17,102.4087543,104.0111047
2018,1/1/18,102.6489624,104.5777307
2018,2/1/18,103.2094482,105.0519583
2018,3/1/18,103.369587,105.289494
2018,4/1/18,103.6097952,105.7080294
2018,5/1/18,103.7699339,106.1476603
2018,6/1/18,103.6898645,106.3168465
2018,7/1/18,104.1702809,106.324019
2018,8/1/18,104.0902115,106.3830864
2018,9/1/18,104.0101421,106.5067063
2018,10/1/18,104.0902115,106.6948784
2018,11/1/18,103.6898645,106.3375201
2018,12/1/18,103.8500033,105.997882
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,